Day,Cases
2014-03-03,1
2014-03-04,1
2014-03-06,1
2014-03-08,1
2014-03-09,2
2014-03-10,1
2014-03-12,2
2014-03-13,3
2014-03-20,1
2014-03-25,1
2014-03-27,3
2014-04-01,1
2014-04-03,1
2014-04-06,1
2014-04-07,1
2014-04-15,2
2014-04-16,1
2014-04-25,1
2014-05-02,1
2014-05-07,1
2014-05-08,1
2014-05-09,2
2014-05-10,2
2014-05-13,2
2014-05-16,1
2014-05-18,2
2014-05-19,1
2014-05-21,1
2014-05-22,1
2014-05-24,1
2014-05-27,1
2014-05-29,1
2014-06-01,4
2014-06-02,1
2014-06-03,1
2014-06-04,1
2014-06-05,2
2014-06-08,2
2014-06-09,2
2014-06-10,1
2014-06-13,2
2014-06-16,1
2014-06-17,7
2014-06-18,1
2014-06-19,2
2014-06-20,2
2014-06-25,1
2014-06-26,2
2014-06-28,1
2014-06-30,1
2014-07-01,2
2014-07-03,1
2014-07-04,1
2014-07-06,1
2014-07-07,1
2014-07-08,1
2014-07-09,1
2014-07-13,2
2014-07-17,1
2014-07-18,1
2014-07-20,3
2014-07-21,1
2014-07-22,1
2014-07-23,5
2014-07-24,1
2014-07-28,2
2014-07-29,1
2014-07-30,1
2014-07-31,2
2014-08-01,1
2014-08-05,1
2014-08-09,2
