Day,Cases
2013-09-09,2
2013-09-12,1
2013-09-16,1
2013-09-19,1
2013-09-22,1
2013-09-23,1
2013-09-24,1
2013-09-25,1
2013-09-26,3
2013-10-09,1
2013-10-16,1
2013-10-21,1
2013-10-26,1
2013-11-07,1
2013-11-11,2
2013-11-21,1
2013-11-29,1
2013-12-04,2
2013-12-05,1
2013-12-06,1
2013-12-11,1
2013-12-12,2
2013-12-13,1
2013-12-16,1
2013-12-19,2
2013-12-22,1
2013-12-23,2
2013-12-25,1
2013-12-27,2
2014-01-06,1
2014-01-07,1
2014-01-09,1
2014-01-11,1
2014-01-13,1
2014-01-15,1
2014-01-21,1
2014-01-24,1
2014-01-26,1
2014-01-28,1
2014-01-31,1
2014-02-05,1
2014-02-06,1
2014-02-09,1
2014-02-10,1
2014-02-15,1
2014-03-04,1
2014-03-08,1
2014-03-09,1
2014-03-12,1
2014-03-15,1
2014-03-16,1
2014-03-18,2
2014-03-23,1
2014-03-27,1
2014-03-31,1
2014-04-01,1
2014-04-03,1
2014-04-08,2
2014-04-09,1
2014-04-11,1
2014-04-12,1
2014-04-21,1
2014-04-27,1
2014-04-30,2
2014-05-08,1
2014-05-18,1
2014-05-20,2
2014-05-22,1
2014-05-27,1
2014-05-28,2
2014-05-29,1
2014-05-30,2
2014-06-05,2
2014-06-07,1
2014-06-08,2
2014-06-12,1
2014-06-15,1
2014-06-19,1
2014-06-20,1
2014-06-21,2
2014-06-26,1
2014-07-01,1
2014-07-02,1
2014-07-04,1
2014-07-07,1
2014-07-12,2
2014-07-14,1
2014-07-16,1
2014-07-18,1
2014-07-22,3
2014-07-23,3
2014-07-24,1
2014-07-25,1
2014-07-31,1
