Day,Cases
2014-01-10,1
2014-01-13,1
2014-02-13,1
2014-02-14,1
2014-02-16,1
2014-02-20,1
2014-02-21,1
2014-02-22,1
2014-02-26,3
2014-03-01,1
2014-03-05,1
2014-03-07,1
2014-03-08,1
2014-03-09,1
2014-03-11,1
2014-03-13,1
2014-03-15,1
2014-03-18,1
2014-03-30,2
2014-03-31,2
2014-04-21,1
2014-05-01,1
2014-05-06,1
2014-05-08,1
2014-05-10,1
2014-05-12,1
2014-05-14,1
2014-05-15,1
2014-05-17,2
2014-05-19,1
2014-05-20,1
2014-05-21,1
2014-05-22,2
2014-05-23,1
2014-05-24,1
2014-05-27,2
2014-05-29,1
2014-05-31,2
2014-06-01,1
2014-06-04,1
2014-06-07,1
2014-06-11,1
2014-06-15,1
2014-06-16,1
2014-06-17,1
2014-06-20,1
2014-06-23,1
2014-06-24,1
2014-06-25,1
2014-06-26,1
2014-06-27,2
2014-06-30,3
2014-07-03,3
2014-07-06,3
2014-07-07,1
2014-07-08,1
2014-07-10,2
2014-07-11,1
2014-07-12,1
2014-07-15,1
2014-07-16,1
2014-07-19,1
2014-07-23,1
2014-07-28,2
2014-07-29,2
2014-07-31,1
2014-08-01,1
2014-08-03,1
2014-08-07,2
2014-08-09,2
2014-08-10,1
